Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,It,I Code Primarily As A Hobby,Other (Please Specify):,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Javascript;Python;Sql,Microsoft Access;Postgresql,Hetzner,Jquery;Node.js,Legal Services,Unknown,Aws Codewhisperer;Github Copilot;Replit Ghostwriter;Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,Student,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;Elixir;Erlang;Haskell;Html/Css;Java;Javascript;Prolog;Python;Sql,Postgresql,Digital Ocean;Fly.io,Angular;Node.js;Phoenix,Financial Services,Chatgpt;Phind,Github Copilot;Mintlify,"Student, Full-Time;Employed, Part-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Html/Css;Java,Bigquery;Mongodb,Google Cloud,Spring Boot,Healthcare,Chatgpt,Adrenaline;Mintlify;Rubber Duck.ai,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Javascript;Powershell;Sql,Microsoft Sql Server;Mongodb,Microsoft Azure,Asp.net;Jquery;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Github Copilot;Replit Ghostwriter,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Html/Css;Lisp;Python;Rust,Sqlite,Digital Ocean,Fastapi;Flask,Other,Unknown,Adrenaline;Aws Codewhisperer;Codeium;Mintlify;Rubber Duck.ai;Synk Code;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Php;Python;Solidity;Typescript,Mongodb;Redis;Sqlite,Digital Ocean;Google Cloud;Microsoft Azure;Vercel,Jquery;Next.js;Node.js;React;Wordpress,"Manufacturing, Transportation, Or Supply Chain",Bing Ai;Chatgpt;Google Bard Ai;Quora Poe;Wolframalpha,Synk Code,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies","Developer, Full-Stack",Some College/University Study Without Earning A Degree,Clojure;Javascript;Typescript,Postgresql;Sqlite,Unknown,Angular;React,Insurance,Phind,Github Copilot;Whispr Ai,"Not Employed, But Looking For Work"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Html/Css;Javascript;Python,Mongodb;Postgresql;Redis;Sqlite,"Hetzner;Linode, Now Akamai;Netlify",Express;Node.js;Svelte,Advertising Services,Unknown,Github Copilot;Replit Ghostwriter;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Go;Java;Javascript;Kotlin;Python;Rust;Scala;Typescript,Elasticsearch;Postgresql,Google Cloud;Microsoft Azure;Openshift,Fastapi;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Aws Codewhisperer;Codeium;Tabnine,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;C++;Html/Css;Javascript;Perl;Python;R;Sql;Typescript,Microsoft Access;Microsoft Sql Server;Postgresql;Sqlite,Hetzner;Microsoft Azure,Angularjs;Asp.net;Asp.net Core,Advertising Services,Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Python;Sql,Microsoft Sql Server;Sqlite,Microsoft Azure,Asp.net Core,Oil & Gas,Unknown,Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed;Employed, Part-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Dart;Html/Css;Javascript;Php;Sql;Typescript,Mariadb;Mongodb;Mysql;Redis,Amazon Web Services (Aws);Digital Ocean;Firebase;Google Cloud,Angular;Express;Jquery;Laravel;Node.js;React;Vue.js;Wordpress,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Github Copilot;Rubber Duck.ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Engineering Manager,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C;C#;C++;Html/Css;Java;Javascript;Lua;Objective-C;Perl;Python;R;Sql;Swift;Vba;Visual Basic (.Net),Cloud Firestore;Firebase Realtime Database;Microsoft Access;Microsoft Sql Server;Mysql;Oracle,Firebase;Google Cloud;Vmware;Vultr,Asp.net;Express;Jquery;Node.js,Oil & Gas,Chatgpt,Aws Codewhisperer;Github Copilot;Mintlify,"Employed, Full-Time"
Mbombela Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies","Senior Executive (C-Suite, Vp, Etc.)","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Delphi;Go;Javascript;Php;Powershell;Python;Sql;Vba,Mariadb;Microsoft Sql Server;Mysql;Sqlite,Digital Ocean;Microsoft Azure,Jquery;Laravel,Insurance,Chatgpt,Codeium;Github Copilot;Tabnine,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Java;Javascript;Kotlin;Python;Rust;Sql,Postgresql;Redis,Microsoft Azure,Vue.js,Financial Services,Unknown,Aws Codewhisperer;Github Copilot;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Php;Python,Elasticsearch;Mysql;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Heroku;Vultr,Django;Flask;Jquery;Node.js;Symfony;Wordpress,Advertising Services,Chatgpt,Adrenaline;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed;Not Employed, But Looking For Work"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Java;Sql,Postgresql,Unknown,Spring Boot,Advertising Services,Unknown,Mintlify;Tabnine,"Employed, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,Academic Researcher,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Php;Python;Sql,Mongodb;Mysql,Amazon Web Services (Aws),Express;Jquery;Laravel;Node.js;React,Wholesale,Chatgpt,Adrenaline;Codeium;Github Copilot,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Senior Executive (C-Suite, Vp, Etc.)","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C#;F#;Html/Css;Javascript;Powershell;Typescript,Elasticsearch;Postgresql;Ravendb,Amazon Web Services (Aws);Digital Ocean;Microsoft Azure,Angular;Asp.net Core;React,Retail And Consumer Services,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Synk Code;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Groovy;Java;Javascript;Python;Sql,Dynamodb;Postgresql,Amazon Web Services (Aws),React,Insurance,Chatgpt;Phind,Adrenaline;Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C;C++;Dart;Go;Html/Css;Java;Javascript;Sql;Typescript,Mongodb;Mysql;Postgresql;Redis,Amazon Web Services (Aws);Digital Ocean;Firebase;Heroku;Netlify;Vercel,Fastify;Nestjs;Next.js;React;Svelte,"Manufacturing, Transportation, Or Supply Chain",Phind,Github Copilot;Rubber Duck.ai,"Independent Contractor, Freelancer, Or Self-Employed;Not Employed, But Looking For Work;Employed, Part-Time"
Nelson Mandela Bay Campus,It,I Code Primarily As A Hobby,Unknown,Something Else,Bash/Shell (All Shells);Javascript;Php;Powershell;Python;Sql;Vba,Mariadb;Microsoft Sql Server;Mysql;Postgresql;Sqlite,Amazon Web Services (Aws);Microsoft Azure,Jquery,Healthcare,Unknown,Github Copilot;Synk Code;Whispr Ai,I Prefer Not To Say
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Associate Degree (A.a., A.s., Etc.)",Javascript;Php,Mysql,Cloudflare;Digital Ocean;Firebase;Hetzner,Angular;Codeigniter;Laravel;Node.js;Wordpress,Legal Services,Unknown,Codeium;Tabnine,"Employed, Full-Time"
Midrand Campus,Computer Science,I Code Primarily As A Hobby,Unknown,Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);Html/Css;Javascript,Sqlite,Hetzner,Jquery;Node.js,Legal Services,Chatgpt;Phind;You.com,Adrenaline;Aws Codewhisperer;Github Copilot;Replit Ghostwriter;Whispr Ai,I Prefer Not To Say
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Clojure;Java;Javascript,Datomic;Influxdb;Mongodb;Redis,Firebase,React,Oil & Gas,Unknown,Aws Codewhisperer;Synk Code;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Assembly;C#;Html/Css;Java;Javascript;Lua;Python;Sql;Typescript,H2,Unknown,Angular;Jquery;Node.js;Spring Boot;Vue.js,Insurance,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed;Student, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Php;Sql,Cosmos Db;Firebase Realtime Database;Mysql;Sqlite,Amazon Web Services (Aws);Managed Hosting;Microsoft Azure,Angularjs;Laravel;Node.js;React;Vue.js,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Aws Codewhisperer;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Nelson Mandela Bay Campus,Data Science,I Am Learning To Code,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C;C#;Html/Css;Java;Javascript;Python;Visual Basic (.Net),Firebase Realtime Database;Firebird;Oracle;Sqlite,"Amazon Web Services (Aws);Cloudflare;Firebase;Google Cloud;Linode, Now Akamai;Microsoft Azure;Netlify;Vmware",Angular;Angularjs;Asp.net;Asp.net Core;Django;Express;Fastapi;Node.js,Other,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Tabnine,"Student, Part-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;C#;C++;Html/Css;Javascript;Matlab;Php;Powershell;Python;Rust;Sql;Typescript,Bigquery;Cloud Firestore;Firebase Realtime Database;Microsoft Sql Server;Mongodb;Mysql;Postgresql;Sqlite;Supabase,Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Netlify;Render;Vercel,Asp.net;Asp.net Core;Django;Express;Fastapi;Flask;Jquery;Nestjs;Next.js;Node.js;React;Wordpress,Insurance,Chatgpt;Google Bard Ai;You.com,Aws Codewhisperer;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Typescript,Elasticsearch;Mariadb;Mongodb;Postgresql;Sqlite,Heroku;Hetzner,Angularjs;Jquery;Node.js;React,"Manufacturing, Transportation, Or Supply Chain",Unknown,Aws Codewhisperer;Codeium;Github Copilot;Tabnine,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);Delphi;Html/Css;Javascript;Powershell;Python;Sql;Typescript,Mongodb;Postgresql;Sqlite,Digital Ocean;Microsoft Azure,Django;Flask;React,Legal Services,Chatgpt;Wolframalpha,Adrenaline;Aws Codewhisperer;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Php;Typescript,Elasticsearch;Mysql;Redis,Amazon Web Services (Aws),Laravel;Next.js;Symfony;Vue.js,Legal Services,Chatgpt,Adrenaline;Aws Codewhisperer;Github Copilot,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Assembly;Bash/Shell (All Shells);C;C++;Javascript;Powershell;Python;Sql;Typescript,Mongodb;Mysql;Postgresql;Sqlite,Heroku;Microsoft Azure;Ovh;Scaleway;Vmware,Express;Node.js;React,Higher Education,Unknown,Github Copilot;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Typescript,Mysql;Postgresql,Unknown,Angular;Angularjs;Spring Boot,Financial Services,Unknown,Adrenaline;Aws Codewhisperer,"Employed, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Front-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;C++;Html/Css;Javascript;Python;Typescript;Visual Basic (.Net),Mysql,Digital Ocean;Google Cloud,Jquery;Next.js;Node.js;React,Financial Services,Unknown,Aws Codewhisperer;Synk Code;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Sql;Typescript,Microsoft Access;Postgresql,Unknown,Node.js,Retail And Consumer Services,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Employed, Part-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;C++;Elixir;Erlang;Go;Python,Microsoft Sql Server;Mongodb;Mysql;Postgresql,Amazon Web Services (Aws);Google Cloud;Microsoft Azure,Phoenix,Healthcare,Chatgpt,Adrenaline;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C;C#;C++;Java;Javascript;Kotlin;Typescript,Firebase Realtime Database;H2;Postgresql,Amazon Web Services (Aws),Angular;React;Vue.js,Wholesale,Chatgpt,Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Mobile","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;C++;Dart;Go;Groovy;Html/Css;Java;Javascript;Powershell;Python;Sql;Swift;Typescript,Cassandra;Cloud Firestore;Firebase Realtime Database;Mysql;Postgresql;Redis,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Ibm Cloud Or Watson,Angular;Node.js;React;Spring Boot,Legal Services,Bing Ai;Chatgpt,Adrenaline;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed;Not Employed, But Looking For Work;Employed, Part-Time"
Durban Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Educator,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Html/Css;Java;Javascript;Kotlin;Typescript,Postgresql,Unknown,Express;Node.js;Spring Boot,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Aws Codewhisperer;Codeium;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,"I Used To Be A Developer By Profession, But No Longer Am","Senior Executive (C-Suite, Vp, Etc.)","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Dart;Sql,Bigquery;Microsoft Sql Server,Amazon Web Services (Aws);Digital Ocean;Google Cloud,Asp.net;Asp.net Core,Oil & Gas,Chatgpt;Wolframalpha,Favorable,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Embedded Applications Or Devices","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C;C++;Go;Javascript;Lua;Perl;Sql;Typescript;Zig,Mysql;Postgresql;Sqlite,Amazon Web Services (Aws),Express;Node.js;Vue.js,Insurance,Unknown,Replit Ghostwriter,"Employed, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack",Primary/Elementary School,Python,Sqlite,Amazon Web Services (Aws),Django;Flask,Retail And Consumer Services,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Mintlify,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Html/Css;Javascript;Php;Typescript,Mariadb;Mysql;Redis,Hetzner,React,Wholesale,Unknown,Rubber Duck.ai,"Employed, Full-Time"
Pretoria Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Other (Please Specify):,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Go;Javascript;Solidity,Mongodb;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Google Cloud;Microsoft Azure,Angularjs;Elm;Node.js;Vue.js,Advertising Services,Chatgpt,Codeium;Github Copilot;Synk Code,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Engineer, Data","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Python;Rust;Sql;Typescript,Bigquery;Postgresql,Amazon Web Services (Aws);Google Cloud;Microsoft Azure,Nestjs;React,Retail And Consumer Services,Chatgpt,Codeium;Github Copilot,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Embedded Applications Or Devices","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Assembly;Bash/Shell (All Shells);C;C++;Erlang;Go;Haskell;Html/Css;Javascript;Lisp;Ocaml;Prolog;Python;Rust;Sql;Typescript,Postgresql;Sqlite,Unknown,Elm;Express;Node.js;React;Vue.js,Other,Unknown,Codeium;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Java;Javascript;Sql;Typescript,Mysql;Oracle;Postgresql,Unknown,Angular;Node.js;Spring Boot,Insurance,Unknown,Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End",Some College/University Study Without Earning A Degree,C++;Dart;Go;Html/Css;Java;Javascript;Lua;Python;Sql;Typescript,Mongodb;Mysql,Heroku,Express;Nestjs;React;Svelte,Financial Services,Chatgpt,Codeium;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed;Student, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Python,Dynamodb;Elasticsearch;Mariadb;Mongodb;Mysql,Amazon Web Services (Aws),Django,Legal Services,Chatgpt,Synk Code,"Employed, Full-Time"
Durban Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Product Manager,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Python;Sql,Postgresql;Snowflake;Sqlite,Amazon Web Services (Aws);Heroku,Django;Flask;Jquery,Higher Education,Bing Ai;Chatgpt,Github Copilot;Replit Ghostwriter,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;C++;Html/Css;Javascript;Sql;Typescript,Dynamodb;Mongodb;Postgresql;Sqlite,Amazon Web Services (Aws);Digital Ocean;Vmware,Express;Node.js;React;Vue.js,Insurance,Bing Ai;Chatgpt,Synk Code,"Employed, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,Devops Specialist,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Java,Mongodb,Cloudflare;Heroku;Netlify;Openshift;Vmware,Wordpress,Financial Services,Bing Ai;Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Python,Elasticsearch;Mongodb,Unknown,Flask;React,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Adrenaline;Aws Codewhisperer;Github Copilot;Replit Ghostwriter,"Student, Part-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Java;Javascript,Dynamodb;Elasticsearch;Mongodb;Mysql;Redis,Amazon Web Services (Aws),Node.js;Spring Boot,Advertising Services,Chatgpt,Github Copilot;Synk Code;Whispr Ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,Cloud Infrastructure Engineer,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Java;Python,Bigquery;Cassandra;Elasticsearch;Mongodb;Postgresql;Redis;Solr,Amazon Web Services (Aws);Cloudflare;Fly.io;Google Cloud;Openstack,Flask;Next.js,Healthcare,Unknown,Adrenaline;Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time;Employed, Part-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Clojure;Html/Css;Java;Javascript;Python;Sql;Typescript,Elasticsearch;Mariadb;Mongodb;Postgresql;Redis;Supabase,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure;Vmware,Express;Flask;Nestjs;Next.js;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Bing Ai;Chatgpt;Google Bard Ai;Phind;You.com,Aws Codewhisperer;Codeium;Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Php;R;Rust;Sql;Typescript,Couch Db;Ibm Db2;Mariadb;Microsoft Sql Server;Mongodb;Neo4j;Oracle;Postgresql;Sqlite,Amazon Web Services (Aws);Google Cloud;Openstack,Angularjs;Next.js;Node.js;React,Higher Education,Chatgpt,Adrenaline;Github Copilot;Tabnine,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,Research & Development Role,"Professional Degree (Jd, Md, Ph.d, Ed.d, Etc.)",C;Python;R;Rust,Mariadb,Firebase,Django;Flask;Vue.js,Wholesale,Chatgpt;Wolframalpha,Adrenaline;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Php;Python;Ruby;Sql;Typescript,Postgresql,Amazon Web Services (Aws);Digital Ocean;Render;Vercel,Jquery;Vue.js;Wordpress,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Aws Codewhisperer;Replit Ghostwriter;Rubber Duck.ai;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Java;Javascript;Kotlin;Python;Sql,Mongodb;Mysql;Postgresql;Redis,Unknown,Django;Flask;React;Spring Boot,"Manufacturing, Transportation, Or Supply Chain",Chatgpt;Perplexity Ai,Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Go;Html/Css;Java;Javascript;Php;Python;Sql;Typescript,Cassandra;Cloud Firestore;Dynamodb;Mariadb;Microsoft Access;Microsoft Sql Server;Mongodb;Mysql;Oracle;Postgresql;Sqlite;Supabase,Amazon Web Services (Aws);Firebase;Google Cloud;Heroku;Netlify;Vercel,Django;Express;Fastapi;Jquery;Laravel;Next.js;Node.js;React;Spring Boot;Vue.js,Wholesale,Unknown,Aws Codewhisperer;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Kotlin;Swift;Typescript,Firebase Realtime Database;Mongodb;Mysql,Netlify;Vercel,Angular;Node.js;React,Healthcare,Chatgpt,Aws Codewhisperer;Synk Code;Whispr Ai,"Student, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);C#;Html/Css;Javascript;Powershell;Python;Sql;Typescript,Microsoft Sql Server;Sqlite,Amazon Web Services (Aws);Cloudflare;Microsoft Azure,Asp.net;Asp.net Core;Blazor;Jquery;Node.js;React,Other,Unknown,Codeium;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Html/Css;Java;Javascript;Php;Sql;Typescript,Elasticsearch;Mariadb;Postgresql;Redis,Cloudflare;Heroku;Vercel,Gatsby;Symfony;Wordpress,Healthcare,Unknown,Aws Codewhisperer;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
